pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,186.3,14071.1,11379.9,26.4,0.7893399507,0.2434505860,22334521.3,20.0,12000.0,2021-07-20 11:50:02.250445
10.0,186.6,14071.3,11380.1,26.4,0.7901517925,0.2437833389,22351148.0,20.0,12000.0,2021-07-20 11:50:02.367237
10.0,188.6,14185.4,11433.8,27.3,0.7887599140,0.2457914708,22434954.2,20.0,12000.0,2021-07-20 11:50:03.410136
10.0,188.4,14220.2,11461.8,27.3,0.7883414550,0.2458888067,22428756.7,20.0,12000.0,2021-07-20 11:50:04.464713
10.0,189.1,14241.6,11479.1,27.3,0.7900754115,0.2466791298,22492078.2,20.0,12000.0,2021-07-20 11:50:05.512188
10.0,189.4,14270.1,11502.2,27.3,0.7903885170,0.2466997336,22501299.7,20.0,12000.0,2021-07-20 11:50:06.647111
10.0,200.8,14368.4,11565.4,27.4,0.7961916532,0.2688399918,23476382.0,20.0,12000.0,2021-07-20 11:50:07.935458
10.0,201.7,14441.0,11624.0,27.4,0.7980863475,0.2694340145,23496950.4,20.0,12000.0,2021-07-20 11:50:08.985605
10.0,201.7,14441.4,11624.2,27.4,0.7996656407,0.2696788367,23542275.4,20.0,12000.0,2021-07-20 11:50:10.068467
10.0,201.8,14439.6,11622.7,27.4,0.7994183880,0.2698261835,23538302.0,20.0,12000.0,2021-07-20 11:50:11.153346
10.0,201.3,14437.8,11621.2,27.7,0.7980977229,0.2693873011,23498790.5,20.0,12000.0,2021-07-20 11:50:12.237563
10.0,210.1,14490.9,11640.0,27.7,0.8020095074,0.2798775516,24508145.1,20.0,12000.0,2021-07-20 11:50:13.281673
10.0,211.0,14509.0,11654.6,27.7,0.8046536690,0.2809473505,24587397.0,20.0,12000.0,2021-07-20 11:50:14.346503
10.0,211.3,14509.0,11654.6,27.7,0.8055977085,0.2813198847,24615703.8,20.0,12000.0,2021-07-20 11:50:15.439722
10.0,212.0,14520.2,11663.7,27.7,0.8091171006,0.2822228825,24735610.7,20.0,12000.0,2021-07-20 11:50:16.481877
10.0,216.0,14564.0,11684.1,27.4,0.8099519661,0.2820654602,25429530.6,20.0,12000.0,2021-07-20 11:50:17.641682
10.0,216.2,14583.9,11699.9,27.7,0.8102642704,0.2820168712,25432871.5,20.0,12000.0,2021-07-20 11:50:18.687794
10.0,216.4,14563.1,11683.2,27.7,0.8109898560,0.2821474502,25458627.7,20.0,12000.0,2021-07-20 11:50:19.733038
10.0,216.4,14575.6,11693.2,27.7,0.8108767167,0.2820944864,25455108.7,20.0,12000.0,2021-07-20 11:50:20.346651
