pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,0.0,0.0,0.0,0.0,0.0007479336,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.017728
10.0,0.0,0.0,0.0,0.0,0.0007479096,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.056745
10.0,0.0,0.0,0.0,0.0,0.0007478868,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.095978
10.0,0.0,0.0,0.0,0.0,0.0007486110,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.135902
10.0,0.0,0.0,0.0,0.0,0.0007485842,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.177337
10.0,0.0,0.0,0.0,0.0,0.0007485560,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.219525
10.0,0.0,0.0,0.0,0.0,0.0007485279,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.262512
10.0,0.0,0.0,0.0,0.0,0.0007492659,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.327873
10.0,0.0,0.0,0.0,0.0,0.0007492346,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.367373
10.0,0.0,0.0,0.0,0.0,0.0007492041,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.407254
10.0,0.0,0.0,0.0,0.0,0.0007491736,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.447172
10.0,0.0,0.0,0.0,0.0,0.0007491432,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.487446
10.0,0.0,0.0,0.0,0.0,0.0007491127,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.527603
10.0,0.0,0.0,0.0,0.0,0.0007490822,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.567790
10.0,0.0,0.0,0.0,0.0,0.0007490517,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.607808
10.0,0.0,0.0,0.0,0.0,0.0007490212,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.648003
10.0,0.0,0.0,0.0,0.0,0.0007489899,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.688584
10.0,0.0,0.0,0.0,0.0,0.0007489594,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.728874
10.0,0.0,0.0,0.0,0.0,0.0007494191,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.773711
10.0,0.0,0.0,0.0,0.0,0.0007493749,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.826667
10.0,0.0,0.0,0.0,0.0,0.0007493444,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.866497
10.0,0.0,0.0,0.0,0.0,0.0007493139,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.906305
10.0,0.0,0.0,0.0,0.0,0.0007492842,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.945987
10.0,0.0,0.0,0.0,0.0,0.0007492537,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:35.985253
10.0,0.0,0.0,0.0,0.0,0.0007492240,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.024831
10.0,0.0,0.0,0.0,0.0,0.0007491942,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.064018
10.0,0.0,0.0,0.0,0.0,0.0007491637,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.129797
10.0,0.0,0.0,0.0,0.0,0.0007491134,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.169077
10.0,0.0,0.0,0.0,0.0,0.0007490837,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.208466
10.0,0.0,0.0,0.0,0.0,0.0007490532,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.248633
10.0,0.0,0.0,0.0,0.0,0.0007490227,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.288360
10.0,0.0,0.0,0.0,0.0,0.0007482475,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.328416
10.0,0.0,0.0,0.0,0.0,0.0007482139,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.368531
10.0,0.0,0.0,0.0,0.0,0.0007481803,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.410905
10.0,0.0,0.0,0.0,0.0,0.0007481442,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.502600
10.0,0.0,0.0,0.0,0.0,0.0007477030,0.0000000000,0.0,20.0,16000,2021-08-17 12:46:36.542761
