pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,197.0,15617.1,12503.7,33.6,0.9012427105,0.6239292203,29369714.5,20.0,10500.0,2021-07-20 11:59:53.949969
10.0,197.9,15623.5,12563.3,33.6,0.9021807275,0.6259089276,29451303.0,20.0,10500.0,2021-07-20 11:59:55.443385
10.0,200.2,15792.4,12644.4,33.6,0.9080962578,0.6291846376,29595937.5,20.0,10500.0,2021-07-20 11:59:56.538730
10.0,200.4,15791.5,12701.0,34.8,0.9088612009,0.6297968241,29602976.6,20.0,10500.0,2021-07-20 11:59:57.940430
10.0,209.3,15869.4,12697.3,34.4,0.9082990045,0.6290907284,29702124.4,20.0,10500.0,2021-07-20 11:59:59.136500
10.0,209.2,15828.4,12664.4,33.8,0.9069049340,0.6288135193,29681736.9,20.0,10500.0,2021-07-20 12:00:00.260797
10.0,209.5,15783.4,12628.2,33.8,0.9077838798,0.6292482652,29717999.3,20.0,10500.0,2021-07-20 12:00:01.349885
10.0,209.2,15804.1,12643.9,33.7,0.9091729620,0.6323670960,29744812.9,20.0,10500.0,2021-07-20 12:00:03.043029
10.0,215.4,16009.4,12804.9,33.4,0.9206181404,0.6335105966,29968694.1,20.0,10500.0,2021-07-20 12:00:03.885566
10.0,217.8,16005.0,12801.4,33.4,0.9334871728,0.6440632266,30428584.6,20.0,10500.0,2021-07-20 12:00:05.341993
10.0,218.8,15989.8,12789.1,33.4,0.9367543555,0.6446822126,30506007.1,20.0,10500.0,2021-07-20 12:00:06.452113
10.0,219.4,15933.5,12744.0,33.4,0.9372376957,0.6434531267,30508556.9,20.0,10500.0,2021-07-20 12:00:07.936243
10.0,227.7,16461.6,13165.3,33.4,0.9636218163,0.6802970212,31063223.5,20.0,10500.0,2021-07-20 12:00:09.439058
10.0,227.8,16416.6,13129.4,34.4,0.9621023504,0.6796689548,31048007.5,20.0,10500.0,2021-07-20 12:00:10.641492
10.0,228.5,16517.5,13210.2,34.4,0.9645252680,0.6818478575,31112360.1,20.0,10500.0,2021-07-20 12:00:11.938626
10.0,237.6,16860.8,13487.9,32.9,1.0002755288,0.6896378309,31085358.2,20.0,10500.0,2021-07-20 12:00:13.156327
10.0,237.3,16860.3,13487.5,32.9,1.0002139211,0.6895939140,31082737.1,20.0,10500.0,2021-07-20 12:00:13.237731
10.0,236.9,16905.1,13523.0,33.7,0.9997614454,0.6888466883,31052059.0,20.0,10500.0,2021-07-20 12:00:14.537460
10.0,237.6,17091.9,13672.7,33.7,1.0019676163,0.6908385228,31137153.5,20.0,10500.0,2021-07-20 12:00:15.740227
10.0,237.1,17139.6,13710.8,33.7,1.0023394811,0.6903609010,31104020.3,20.0,10500.0,2021-07-20 12:00:16.837256
10.0,238.2,17141.5,13712.4,33.7,1.0062376370,0.6952224845,31215174.1,20.0,10500.0,2021-07-20 12:00:18.036275
10.0,241.9,18272.7,14627.4,33.7,1.0676690735,0.7297900970,31811830.1,20.0,10500.0,2021-07-20 12:00:19.084595
10.0,242.7,18421.7,14746.8,33.7,1.0749640137,0.7345328185,32028743.2,20.0,10500.0,2021-07-20 12:00:20.237460
10.0,244.6,18438.4,14760.1,33.7,1.0826168184,0.7391745475,32244077.2,20.0,10500.0,2021-07-20 12:00:21.345716
10.0,243.2,18454.9,14774.2,33.7,1.0790133404,0.7373507441,32149867.0,20.0,10500.0,2021-07-20 12:00:22.550361
10.0,253.3,18905.5,15139.5,33.7,1.1103256290,0.7517905360,32668415.4,20.0,10500.0,2021-07-20 12:00:23.739346
10.0,255.5,18878.6,15117.7,33.7,1.1172595734,0.7582965904,32878925.1,20.0,10500.0,2021-07-20 12:00:24.863879
10.0,257.2,18957.3,15180.8,34.3,1.1214890937,0.7610370678,32988591.7,20.0,10500.0,2021-07-20 12:00:25.959784
10.0,257.7,19121.2,15311.7,33.2,1.1211289994,0.7608784525,32974623.2,20.0,10500.0,2021-07-20 12:00:27.058153
10.0,261.3,19885.7,15944.3,33.4,1.1640116666,0.8474318240,33442568.0,20.0,10500.0,2021-07-20 12:00:28.153340
10.0,262.4,19930.5,15980.3,33.9,1.1634302786,0.8471056556,33476542.4,20.0,10500.0,2021-07-20 12:00:29.254894
10.0,262.0,19881.6,15941.5,34.4,1.1645505340,0.8505323978,33462837.0,20.0,10500.0,2021-07-20 12:00:30.363199
10.0,261.4,19881.9,15905.9,34.4,1.1619130415,0.8491089028,33392708.4,20.0,10500.0,2021-07-20 12:00:31.458347
10.0,261.4,19836.7,15905.7,34.4,1.1618637296,0.8490819545,33391229.7,20.0,10500.0,2021-07-20 12:00:31.514496
10.0,261.7,19832.1,15902.1,34.3,1.1608318135,0.8456646981,33354402.3,20.0,10500.0,2021-07-20 12:00:32.833912
10.0,266.3,20717.0,16642.9,34.0,1.2005407358,0.8775804350,34620528.7,20.0,10500.0,2021-07-20 12:00:33.965861
10.0,267.7,20783.5,16696.5,34.0,1.2112293681,0.8889137390,34942110.4,20.0,10500.0,2021-07-20 12:00:35.167030
10.0,267.8,20845.3,16746.3,34.0,1.2130363415,0.8890008228,35002901.5,20.0,10500.0,2021-07-20 12:00:36.354499
10.0,268.0,20746.9,16667.5,34.0,1.2174162495,0.8899956616,35186838.9,20.0,10500.0,2021-07-20 12:00:37.469285
10.0,272.8,21310.1,17209.6,33.3,1.2610413673,0.9142663083,35648239.6,20.0,10500.0,2021-07-20 12:00:38.735233
10.0,273.2,21406.2,17211.4,33.3,1.2627700715,0.9148309430,35585695.4,20.0,10500.0,2021-07-20 12:00:40.045587
10.0,273.2,21404.6,17210.1,33.3,1.2608088594,0.9147575852,35582037.6,20.0,10500.0,2021-07-20 12:00:40.241037
10.0,274.2,21418.8,17220.9,33.3,1.2629451012,0.9176443624,35656212.8,20.0,10500.0,2021-07-20 12:00:41.541390
10.0,274.4,22410.8,18056.8,33.3,1.2879862593,0.9119017613,35853105.7,20.0,10500.0,2021-07-20 12:00:42.737773
10.0,275.4,22530.4,18153.1,33.3,1.2928722901,0.9133852533,35988315.4,20.0,10500.0,2021-07-20 12:00:44.136632
10.0,276.9,22654.6,18253.0,33.3,1.3005613338,0.9206653663,36139816.2,20.0,10500.0,2021-07-20 12:00:45.256917
10.0,276.6,22694.1,18284.7,33.3,1.2999111470,0.9203317925,36094261.5,20.0,10500.0,2021-07-20 12:00:46.367115
10.0,276.1,22689.0,18280.6,33.9,1.2983447208,0.9182632265,36051314.7,20.0,10500.0,2021-07-20 12:00:47.747165
10.0,282.5,23240.2,18745.7,33.7,1.3529698482,0.9119668920,36585079.7,20.0,10500.0,2021-07-20 12:00:48.540796
10.0,282.1,23246.3,18750.6,33.8,1.3527271222,0.9129012900,36544749.8,20.0,10500.0,2021-07-20 12:00:49.671892
10.0,282.3,23253.2,18756.1,33.9,1.3612860708,0.9196755764,36819075.6,20.0,10500.0,2021-07-20 12:00:50.837141
10.0,284.0,23316.4,18807.1,33.9,1.3612971909,0.9176846566,36876916.4,20.0,10500.0,2021-07-20 12:00:51.972079
10.0,293.2,23713.8,19145.0,33.1,1.3946917555,0.9142572699,37404175.2,20.0,10500.0,2021-07-20 12:00:53.168863
10.0,294.3,23994.5,19371.9,33.6,1.4003226998,0.9158747089,37562077.5,20.0,10500.0,2021-07-20 12:00:54.437959
10.0,294.9,24086.5,19446.3,33.6,1.3994685324,0.9152946787,37493097.4,20.0,10500.0,2021-07-20 12:00:55.644714
10.0,296.0,24387.8,19689.6,33.6,1.3984830971,0.9165755461,37490386.6,20.0,10500.0,2021-07-20 12:00:56.854240
10.0,296.1,24390.0,19691.7,33.6,1.4000789288,0.9188711182,37502619.8,20.0,10500.0,2021-07-20 12:00:57.438515
10.0,302.8,25069.5,20258.7,34.3,1.4549715137,0.9045455839,39222590.3,20.0,10500.0,2021-07-20 12:00:58.482970
10.0,303.9,25124.7,20303.0,33.8,1.4588977365,0.9064238309,39302118.6,20.0,10500.0,2021-07-20 12:00:59.562571
10.0,304.4,25129.7,20307.1,33.8,1.4598492002,0.9060775132,39342993.6,20.0,10500.0,2021-07-20 12:01:00.759635
10.0,305.6,25124.6,20303.0,33.8,1.4593217873,0.9064916233,39314847.1,20.0,10500.0,2021-07-20 12:01:01.937194
10.0,308.1,25659.9,20754.4,33.5,1.4878712249,0.9057958626,40544273.9,20.0,10500.0,2021-07-20 12:01:03.139456
10.0,309.6,25660.3,20755.1,33.6,1.5015405919,0.9118095829,40943926.4,20.0,10500.0,2021-07-20 12:01:04.267179
10.0,310.5,25668.4,20761.7,33.6,1.5069697676,0.9141455991,41101879.7,20.0,10500.0,2021-07-20 12:01:05.554914
10.0,310.1,25675.1,20767.2,33.7,1.5084419226,0.9169651517,41146979.1,20.0,10500.0,2021-07-20 12:01:06.263569
10.0,310.2,25744.4,20823.2,33.7,1.5115908817,0.9183740868,41243766.6,20.0,10500.0,2021-07-20 12:01:07.449941
10.0,312.2,26572.6,21519.3,33.3,1.5346271897,0.9103033757,41488656.3,20.0,10500.0,2021-07-20 12:01:08.566135
10.0,314.3,26587.6,21531.9,33.3,1.5402698987,0.9133658187,41585224.2,20.0,10500.0,2021-07-20 12:01:09.747443
10.0,314.7,26652.2,21584.5,34.4,1.5463066307,0.9173450570,41704983.0,20.0,10500.0,2021-07-20 12:01:11.136836
10.0,314.8,26637.4,21572.5,34.3,1.5467276152,0.9185266528,41785142.1,20.0,10500.0,2021-07-20 12:01:12.246047
10.0,317.1,27317.4,22142.4,33.9,1.5750575983,0.9064923694,42190249.8,20.0,10500.0,2021-07-20 12:01:13.450728
10.0,319.4,27656.1,22416.4,33.9,1.5881208262,0.9146927122,42479090.6,20.0,10500.0,2021-07-20 12:01:14.640764
10.0,320.2,27719.3,22467.6,33.9,1.5913784810,0.9160030540,42615613.9,20.0,10500.0,2021-07-20 12:01:15.244459
10.0,322.3,27821.9,22550.5,33.4,1.5965001878,0.9206439213,42649816.6,20.0,10500.0,2021-07-20 12:01:16.441734
10.0,322.6,27756.3,22497.2,33.3,1.5955643138,0.9195031830,42647933.7,20.0,10500.0,2021-07-20 12:01:17.739707
10.0,330.0,28318.4,22970.0,33.1,1.6436381470,0.9131776439,43384302.0,20.0,10500.0,2021-07-20 12:01:18.939004
10.0,330.7,28378.4,23018.8,33.5,1.6410159369,0.9110038556,43314271.1,20.0,10500.0,2021-07-20 12:01:20.145176
10.0,330.5,28435.7,23065.5,33.6,1.6477707167,0.9147091898,43498031.8,20.0,10500.0,2021-07-20 12:01:21.337945
10.0,329.4,28220.5,22891.4,33.7,1.6421394847,0.9117282521,43382571.8,20.0,10500.0,2021-07-20 12:01:22.545782
10.0,341.0,29104.4,23642.3,33.7,1.6773576991,0.9051378979,44869978.5,20.0,10500.0,2021-07-20 12:01:22.864884
10.0,341.1,29104.4,23642.3,33.7,1.6780828838,0.9042455668,44850404.1,20.0,10500.0,2021-07-20 12:01:23.187293
