pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
10.0,469.8,36861.2,29141.7,170.2,2.2527198172,0.5919506564,55937477.3,20.0,14000,2021-09-06 15:52:30.482712
10.0,469.8,36859.8,29140.6,170.2,2.2526899140,0.5919451659,55936770.1,20.0,14000,2021-09-06 15:52:30.536693
10.0,469.8,36858.5,29139.5,170.2,2.2505075644,0.5924321228,55769919.6,20.0,14000,2021-09-06 15:52:30.591452
10.0,470.8,36857.0,29138.4,170.1,2.2504734643,0.5924257499,55769086.3,20.0,14000,2021-09-06 15:52:30.651857
10.0,470.8,36855.5,29137.2,170.1,2.2504488073,0.5924212399,55767949.8,20.0,14000,2021-09-06 15:52:30.745646
10.0,470.8,36853.2,29135.3,170.1,2.2504005426,0.5924121219,55767343.7,20.0,14000,2021-09-06 15:52:30.787574
10.0,470.8,36852.1,29134.5,170.1,2.2503785087,0.5924081021,55766826.0,20.0,14000,2021-09-06 15:52:30.828905
10.0,470.8,36851.1,29133.7,170.1,2.2503569994,0.5924039842,55766295.7,20.0,14000,2021-09-06 15:52:30.871503
10.0,470.8,36850.0,29132.8,170.1,2.2503160792,0.5923964349,55765310.7,20.0,14000,2021-09-06 15:52:31.038509
10.0,470.8,36843.8,29127.9,170.0,2.2502048605,0.5923756496,55762646.4,20.0,14000,2021-09-06 15:52:31.238229
10.0,470.8,36840.6,29125.4,170.0,2.2501419064,0.5923636883,55761080.6,20.0,14000,2021-09-06 15:52:31.339584
10.0,470.8,36838.1,29086.3,169.9,2.2481790041,0.5934691846,55553343.4,20.0,14000,2021-09-06 15:52:31.837004
10.0,467.4,36728.0,29033.6,169.7,2.2453483755,0.5921176287,55478839.7,20.0,14000,2021-09-06 15:52:32.451830
10.0,467.3,36562.1,28849.5,166.9,2.2394092160,0.5932036897,55325221.7,20.0,14000,2021-09-06 15:52:32.736287
10.0,465.1,36386.6,28761.6,166.7,2.2370793632,0.5927408945,55270650.0,20.0,14000,2021-09-06 15:52:32.866146
10.0,467.3,36071.5,28507.7,166.7,2.2255555586,0.5892561957,55091462.8,20.0,14000,2021-09-06 15:52:33.038744
10.0,467.3,36067.7,28504.7,166.6,2.2255555586,0.5892561957,55091462.8,20.0,14000,2021-09-06 15:52:33.246770
10.0,467.3,36120.8,28546.7,166.5,2.2255555586,0.5892561957,55046981.5,20.0,14000,2021-09-06 15:52:33.638145
