pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.507744
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.547043
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.586907
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.628687
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.674568
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.705058
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.735090
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.765265
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.796183
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.827592
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.861886
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.893219
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.924335
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.955032
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:37.990309
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:38.021455
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:38.118689
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:38.165712
1.0,0.0,0.0,0.0,0.0,0.0000000000,0.0000000000,0.0,28.0,50,2021-09-02 17:33:38.213852
