pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
1.0,0.0,0.0,0.0,0.0,0.0003692285,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.469559
1.0,0.0,0.0,0.0,0.0,0.0003691274,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.517000
1.0,0.0,0.0,0.0,0.0,0.0003690263,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.563574
1.0,0.0,0.0,0.0,0.0,0.0003689253,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.609073
1.0,0.0,0.0,0.0,0.0,0.0003688285,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.656552
1.0,0.0,0.0,0.0,0.0,0.0003687253,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.701841
1.0,0.0,0.0,0.0,0.0,0.0003686285,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.747825
1.0,0.0,0.0,0.0,0.0,0.0003685295,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.794079
1.0,0.0,0.0,0.0,0.0,0.0003684306,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.839567
1.0,0.0,0.0,0.0,0.0,0.0003683317,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.886374
1.0,0.0,0.0,0.0,0.0,0.0003682306,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.932389
1.0,0.0,0.0,0.0,0.0,0.0003681317,0.0000000000,0.0,2.0,150,2021-07-26 15:48:33.979510
1.0,0.0,0.0,0.0,0.0,0.0003680327,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.024053
1.0,0.0,0.0,0.0,0.0,0.0003679360,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.094198
1.0,0.0,0.0,0.0,0.0,0.0003677854,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.140088
1.0,0.0,0.0,0.0,0.0,0.0003676865,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.186048
1.0,0.0,0.0,0.0,0.0,0.0003675876,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.231247
1.0,0.0,0.0,0.0,0.0,0.0003674908,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.277167
1.0,0.0,0.0,0.0,0.0,0.0003673919,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.322515
1.0,0.0,0.0,0.0,0.0,0.0003672929,0.0000000000,0.0,2.0,150,2021-07-26 15:48:34.368576
