pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,load,date
2.0,0.0,0.0,0.0,0.0,0.0002343404,0.0000000000,0.0,4.0,150,2021-09-06 21:02:44.883553
2.0,0.0,0.0,0.0,0.0,0.0002342680,0.0000000000,0.0,4.0,150,2021-09-06 21:02:44.934413
2.0,0.0,0.0,0.0,0.0,0.0002342010,0.0000000000,0.0,4.0,150,2021-09-06 21:02:44.982496
2.0,0.0,0.0,0.0,0.0,0.0002341273,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.041935
2.0,0.0,0.0,0.0,0.0,0.0002340494,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.099662
2.0,0.0,0.0,0.0,0.0,0.0002339674,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.156186
2.0,0.0,0.0,0.0,0.0,0.0002338923,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.211566
2.0,0.0,0.0,0.0,0.0,0.0002338131,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.271488
2.0,0.0,0.0,0.0,0.0,0.0002337352,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.329792
2.0,0.0,0.0,0.0,0.0,0.0002336546,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.386132
2.0,0.0,0.0,0.0,0.0,0.0002350202,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.448670
2.0,0.0,0.0,0.0,0.0,0.0002349382,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.505316
2.0,0.0,0.0,0.0,0.0,0.0002347374,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.659627
2.0,0.0,0.0,0.0,0.0,0.0002346022,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.749619
2.0,0.0,0.0,0.0,0.0,0.0002345229,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.804416
2.0,0.0,0.0,0.0,0.0,0.0002344560,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.848744
2.0,0.0,0.0,0.0,0.0,0.0002344000,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.929034
2.0,0.0,0.0,0.0,0.0,0.0002342811,0.0000000000,0.0,4.0,150,2021-09-06 21:02:45.980255
2.0,0.0,0.0,0.0,0.0,0.0002342142,0.0000000000,0.0,4.0,150,2021-09-06 21:02:46.027069
2.0,0.0,0.0,0.0,0.0,0.0002341568,0.0000000000,0.0,4.0,150,2021-09-06 21:02:46.072029
2.0,0.0,0.0,0.0,0.0,0.0002340912,0.0000000000,0.0,4.0,150,2021-09-06 21:02:46.118990
