pods,file_descriptors,receive_packets,transmit_packets,dropped_packets,cpu_usage_seconds,cpu_throttled_seconds,memory_working_bytes,memory_usage_bytes,carga,fecha
1.0,0.0,0.0,0.0,0.0,0.0000600395,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:40.793502
1.0,0.0,0.0,0.0,0.0,0.0000596681,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:41.845003
1.0,0.0,0.0,0.0,0.0,0.0000592970,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:42.899503
1.0,0.0,0.0,0.0,0.0,0.0000654394,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:43.957502
1.0,0.0,0.0,0.0,0.0,0.0000654394,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:44.164003
1.0,0.0,0.0,0.0,0.0,0.0000654394,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:45.220504
1.0,0.0,0.0,0.0,0.0,0.0000654394,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:46.279504
1.0,0.0,0.0,0.0,0.0,0.0000624311,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:47.334002
1.0,0.0,0.0,0.0,0.0,0.0000623833,0.0000000000,0.0,4.0,1000.0,2021-06-01 20:06:47.461503
1.0,3.3,0.0,0.0,0.0,0.0812087658,0.8321093045,1367705.8,4.0,1000.0,2021-06-01 20:06:48.528002
1.0,3.3,0.0,0.0,0.0,0.0828365867,0.8489664746,1367705.8,4.0,1000.0,2021-06-01 20:06:49.585504
1.0,3.3,0.0,0.0,0.0,0.0838879838,0.8598543919,1367705.8,4.0,1000.0,2021-06-01 20:06:50.268502
1.0,3.3,0.0,0.0,0.0,0.0853662609,0.8767274801,1367705.8,4.0,1000.0,2021-06-01 20:06:51.330502
1.0,4.1,0.0,0.0,0.0,0.0893531883,0.9216723598,1465005.1,4.0,1000.0,2021-06-01 20:06:52.390004
1.0,4.2,0.0,0.0,0.0,0.0905881964,0.9349000967,1472740.8,4.0,1000.0,2021-06-01 20:06:53.064002
1.0,10.2,0.0,0.0,0.0,0.1842284407,2.0610246762,2662341.7,4.0,1000.0,2021-06-01 20:06:54.131503
1.0,10.4,0.0,0.0,0.0,0.1881457905,2.1058381410,2674586.1,4.0,1000.0,2021-06-01 20:06:55.198002
1.0,10.5,0.0,0.0,0.0,0.1905167216,2.1330028980,2761698.9,4.0,1000.0,2021-06-01 20:06:55.848002
1.0,10.7,0.0,0.0,0.0,0.1944597229,2.1780678884,2761698.9,4.0,1000.0,2021-06-01 20:06:56.921003
1.0,10.3,0.0,0.0,0.0,0.1917415072,2.1384315236,2677847.5,4.0,1000.0,2021-06-01 20:06:57.999004
1.0,10.4,0.0,0.0,0.0,0.1925098209,2.1468988688,2674700.5,4.0,1000.0,2021-06-01 20:06:58.271003
1.0,11.8,2220.0,2110.0,0.0,0.3728086839,4.2113917538,3405347.5,4.0,1000.0,2021-06-01 20:06:59.328003
1.0,11.9,2267.5,2155.2,0.0,0.3840269270,4.3315597641,3618375.3,4.0,1000.0,2021-06-01 20:07:00.387503
1.0,12.0,2284.7,2171.4,0.0,0.3870297621,4.3648895565,3628923.1,4.0,1000.0,2021-06-01 20:07:00.759002
1.0,12.0,2331.6,2216.0,0.0,0.3953453056,4.4577685780,3658395.1,4.0,1000.0,2021-06-01 20:07:01.805502
1.0,12.1,2379.2,2261.3,0.0,0.4037723602,4.5517141529,3688233.7,4.0,1000.0,2021-06-01 20:07:02.863002
1.0,12.1,2397.4,2278.6,0.0,0.4070380430,4.5881547259,3699768.7,4.0,1000.0,2021-06-01 20:07:03.273502
1.0,12.1,5625.3,5364.5,0.0,0.4154252665,4.6830779747,3729917.5,4.0,1000.0,2021-06-01 20:07:04.345504
1.0,13.6,5737.9,5471.7,0.0,0.4385223967,4.9540995631,4412217.6,4.0,1000.0,2021-06-01 20:07:05.408503
1.0,13.7,5776.0,5508.0,0.0,0.4417657582,4.9905542029,4626803.7,4.0,1000.0,2021-06-01 20:07:05.764502
1.0,13.9,5886.4,5613.4,0.0,0.4511903738,5.0967789726,4626803.7,4.0,1000.0,2021-06-01 20:07:06.815503
1.0,12.5,5997.5,5719.3,0.0,0.4342904441,4.8830783743,4345282.9,4.0,1000.0,2021-06-01 20:07:07.870003
1.0,12.6,6108.6,5825.4,0.0,0.4778156694,5.2704789319,5960525.1,4.0,1000.0,2021-06-01 20:07:08.929503
1.0,12.6,6221.5,5933.0,0.0,0.4827331418,5.3169156751,5901819.9,4.0,1000.0,2021-06-01 20:07:10.007502
1.0,12.6,6579.6,6273.5,0.0,0.4876139849,5.3629208501,5843605.2,4.0,1000.0,2021-06-01 20:07:11.075502
1.0,12.6,7722.3,7366.2,0.0,0.4925085640,5.4089691820,5785717.6,4.0,1000.0,2021-06-01 20:07:12.133503
1.0,12.6,7878.3,7515.4,0.0,0.4973069914,5.4541975341,5728593.1,4.0,1000.0,2021-06-01 20:07:13.182003
1.0,15.4,8034.3,7664.5,0.0,0.7379120788,9.0891947105,5469132.1,4.0,1000.0,2021-06-01 20:07:14.237002
1.0,15.5,8190.4,7813.7,0.0,0.7522246987,9.2664507179,5469132.1,4.0,1000.0,2021-06-01 20:07:15.291504
1.0,15.7,8346.6,7963.2,0.0,0.7665780565,9.4440430746,5469132.1,4.0,1000.0,2021-06-01 20:07:16.349503
1.0,15.8,8502.2,8112.5,0.0,0.7809449937,9.6223081295,5469132.1,4.0,1000.0,2021-06-01 20:07:17.411502
1.0,15.8,8520.4,8129.3,0.0,0.7825609347,9.6421527300,5469132.1,4.0,1000.0,2021-06-01 20:07:17.527502
1.0,15.8,9433.9,9139.1,0.0,0.7969142925,9.8200814358,5469132.1,4.0,1000.0,2021-06-01 20:07:18.585503
1.0,0.0,0.0,0.0,0.0,0.0000943419,0.0000000000,0.0,4.0,2000.0,2021-06-01 20:08:18.702004
1.0,0.0,0.0,0.0,0.0,0.0000894183,0.0000000000,0.0,4.0,2000.0,2021-06-01 20:08:19.855002
1.0,0.0,0.0,0.0,0.0,0.0000844119,0.0000000000,0.0,4.0,2000.0,2021-06-01 20:08:20.939002
1.0,0.0,0.0,0.0,0.0,0.0000841596,0.0000000000,0.0,4.0,2000.0,2021-06-01 20:08:21.170003
1.0,0.0,0.0,0.0,0.0,0.0000830470,0.0000000000,0.0,4.0,2000.0,2021-06-01 20:08:22.225503
1.0,0.0,0.0,0.0,0.0,0.0000762177,0.0000000000,0.0,4.0,2000.0,2021-06-01 20:08:23.289503
1.0,0.0,755.5,623.3,0.0,0.0189046218,0.1550079125,107345.1,4.0,2000.0,2021-06-01 20:08:23.778004
1.0,0.0,755.5,623.3,0.0,0.0193018267,0.1583251042,109642.1,4.0,2000.0,2021-06-01 20:08:24.838002
1.0,0.0,1134.6,936.1,0.0,0.0197013798,0.1616110606,111917.5,4.0,2000.0,2021-06-01 20:08:25.889336
1.0,0.0,1134.6,936.1,0.0,0.0228404272,0.1874119611,129774.9,4.0,2000.0,2021-06-01 20:08:26.367002
1.0,0.0,1134.6,936.1,0.0,0.0228393181,0.1874119611,129774.9,4.0,2000.0,2021-06-01 20:08:27.431002
1.0,8.8,1134.6,936.1,0.0,0.1334115967,1.6342278393,369130.9,4.0,2000.0,2021-06-01 20:08:28.486002
1.0,8.8,1134.6,936.1,0.0,0.1334115967,1.6342278393,369130.9,4.0,2000.0,2021-06-01 20:08:28.882002
1.0,8.8,1134.6,936.1,0.0,0.1334115967,1.6342278393,369130.9,4.0,2000.0,2021-06-01 20:08:29.937503
1.0,8.8,1134.6,936.1,0.0,0.1334115967,1.6342278393,369130.9,4.0,2000.0,2021-06-01 20:08:30.990002
1.0,8.8,1134.6,936.1,0.0,0.1334115967,1.6342278393,369130.9,4.0,2000.0,2021-06-01 20:08:31.468503
1.0,10.2,1134.6,936.1,0.0,0.1511804350,1.8680269194,417072.1,4.0,2000.0,2021-06-01 20:08:32.538502
1.0,10.2,1134.6,936.1,0.0,0.1511804350,1.8680269194,417072.1,4.0,2000.0,2021-06-01 20:08:33.598503
1.0,10.2,1134.6,936.1,0.0,0.1511804350,1.8680269194,417072.1,4.0,2000.0,2021-06-01 20:08:33.865502
1.0,10.2,1134.6,936.1,0.0,0.1511804350,1.8680269194,417072.1,4.0,2000.0,2021-06-01 20:08:34.928503
